Date,Total,HK_Residents,Mainland_Visitors,Other_Visitors,Year,Month,Day,DayOfWeek,WeekOfYear,IsWeekend
2023-01-01,49951,39516,3335,7100,2023,1,1,6,52,1
2023-01-02,53241,41625,3046,8570,2023,1,2,0,1,0
2023-01-03,47567,37172,3315,7080,2023,1,3,1,1,0
2023-01-04,46072,36080,3419,6573,2023,1,4,2,1,0
2023-01-05,43170,32846,3738,6586,2023,1,5,3,1,0
2023-01-06,45313,34462,4152,6699,2023,1,6,4,1,0
2023-01-07,47306,35790,4475,7041,2023,1,7,5,1,1
2023-01-08,55978,41465,5968,8545,2023,1,8,6,1,1
2023-01-09,44216,30940,5689,7587,2023,1,9,0,2,0
2023-01-10,44370,30318,5952,8100,2023,1,10,1,2,0
2023-01-11,44889,29696,6509,8684,2023,1,11,2,2,0
2023-01-12,45566,30044,6455,9067,2023,1,12,3,2,0
2023-01-13,47950,31375,7120,9455,2023,1,13,4,2,0
2023-01-14,50856,34816,6623,9417,2023,1,14,5,2,1
2023-01-15,55441,38337,7100,10004,2023,1,15,6,2,1
2023-01-16,43712,29308,6323,8081,2023,1,16,0,3,0
2023-01-17,48012,33908,6346,7758,2023,1,17,1,3,0
2023-01-18,55123,40512,6821,7790,2023,1,18,2,3,0
2023-01-19,58743,43833,6837,8073,2023,1,19,3,3,0
2023-01-20,60174,46128,5981,8065,2023,1,20,4,3,0
2023-01-21,56804,45376,3471,7957,2023,1,21,5,3,1
2023-01-22,51510,39659,4610,7241,2023,1,22,6,3,1
2023-01-23,47347,34045,6024,7278,2023,1,23,0,4,0
2023-01-24,50128,35796,5909,8423,2023,1,24,1,4,0
2023-01-25,57290,44675,5606,7009,2023,1,25,2,4,0
2023-01-26,57791,42201,7380,8210,2023,1,26,3,4,0
2023-01-27,58770,43278,7246,8246,2023,1,27,4,4,0
2023-01-28,62657,48771,5940,7946,2023,1,28,5,4,1
2023-01-29,68784,55046,5640,8098,2023,1,29,6,4,1
2023-01-30,55409,42167,6127,7115,2023,1,30,0,5,0
2023-01-31,52203,38943,6136,7124,2023,1,31,1,5,0
2023-02-01,54139,39271,7181,7687,2023,2,1,2,5,0
2023-02-02,50079,32959,8321,8799,2023,2,2,3,5,0
2023-02-03,50872,32448,8227,10197,2023,2,3,4,5,0
2023-02-04,50878,33236,7988,9654,2023,2,4,5,5,1
2023-02-05,57058,38452,7457,11149,2023,2,5,6,5,1
2023-02-06,50925,31553,8632,10740,2023,2,6,0,6,0
2023-02-07,46729,28128,8137,10464,2023,2,7,1,6,0
2023-02-08,48287,28721,8931,10635,2023,2,8,2,6,0
2023-02-09,49439,28702,9130,11607,2023,2,9,3,6,0
2023-02-10,53980,31808,9337,12835,2023,2,10,4,6,0
2023-02-11,53395,32121,8884,12390,2023,2,11,5,6,1
2023-02-12,58372,34847,9008,14517,2023,2,12,6,6,1
2023-02-13,51590,29539,9215,12836,2023,2,13,0,7,0
2023-02-14,46071,25770,8235,12066,2023,2,14,1,7,0
2023-02-15,51656,29505,9218,12933,2023,2,15,2,7,0
2023-02-16,51869,29345,9521,13003,2023,2,16,3,7,0
2023-02-17,57229,32580,9944,14705,2023,2,17,4,7,0
2023-02-18,55322,32455,9147,13720,2023,2,18,5,7,1
2023-02-19,62990,36625,10516,15849,2023,2,19,6,7,1
2023-02-20,56683,32135,10157,14391,2023,2,20,0,8,0
2023-02-21,50804,28550,9426,12828,2023,2,21,1,8,0
2023-02-22,54417,29637,10226,14554,2023,2,22,2,8,0
2023-02-23,56319,30112,10825,15382,2023,2,23,3,8,0
2023-02-24,62681,34556,10855,17270,2023,2,24,4,8,0
2023-02-25,62170,33626,10483,18061,2023,2,25,5,8,1
2023-02-26,67117,37435,11113,18569,2023,2,26,6,8,1
2023-02-27,62110,32925,10433,18752,2023,2,27,0,9,0
2023-02-28,60997,30710,10754,19533,2023,2,28,1,9,0
2023-03-01,63152,34161,10642,18349,2023,3,1,2,9,0
2023-03-02,60341,33323,11041,15977,2023,3,2,3,9,0
2023-03-03,64464,35678,11553,17233,2023,3,3,4,9,0
2023-03-04,62066,34794,10392,16880,2023,3,4,5,9,1
2023-03-05,70619,39164,11218,20237,2023,3,5,6,9,1
2023-03-06,63782,33017,11036,19729,2023,3,6,0,10,0
2023-03-07,59720,32068,10743,16909,2023,3,7,1,10,0
2023-03-08,61076,34108,11285,15683,2023,3,8,2,10,0
2023-03-09,63913,35763,11977,16173,2023,3,9,3,10,0
